0.0267,0.0492
0.0294,0.0509
0.032,0.0526
0.0345,0.0542
0.0371,0.0559
0.0395,0.0574
0.042,0.0589
0.0446,0.0604
0.0473,0.0619
0.0504,0.0637
0.0539,0.0656
0.0577,0.0676
0.0624,0.07
0.0664,0.0721
0.0699,0.0737
0.0734,0.0753
0.0771,0.077
0.0808,0.0786
0.0851,0.0804
0.0894,0.0821
0.0935,0.0837
0.0974,0.0852
0.1013,0.0866
0.1057,0.0881
0.1109,0.0898
0.1166,0.0915
0.1217,0.0929
0.1263,0.0942
0.1306,0.0953
0.1353,0.0964
0.1401,0.0975
0.1454,0.0986
0.1505,0.0996
0.1557,0.1005
0.1604,0.1012
0.165,0.1018
0.1693,0.1024
0.174,0.1029
0.1789,0.1034
0.1841,0.1039
0.1893,0.1042
0.1948,0.1045
0.2005,0.1047
0.206,0.1048
0.2116,0.1048
0.2171,0.1047
0.2227,0.1045
0.2281,0.1042
0.2337,0.1038
0.2393,0.1033
